ID,Metric - Number of projections,Metric - Number of tables,Metric - Number of aggregation functions,Metric - Number of selections,Metric - Common projections number,Metric - Common selections number,Metric - Common aggregation functions number,Metric - Common tables number
196,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
197,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
198,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
199,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
200,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0
201,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0
202,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0
203,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0
204,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0
205,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0
206,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
207,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
208,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
209,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
210,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
211,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
212,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
213,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
214,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
215,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
216,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
217,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
218,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
219,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
220,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
221,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
222,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0
223,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0
224,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
225,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
226,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0
227,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0
228,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0
